CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,TypeofContact_encoded,Occupation_encoded,Gender_encoded,ProductPitched_encoded,MaritalStatus_encoded,Designation_encoded,Age_Group,Age_Group_encoded,Income_Group,Income_Group_encoded,Family_Size,Travel_Experience,Travel_Experience_encoded,High_Satisfaction,Base_Price,Price_Per_Person,Customer_Segment
200017,0,22.0,Company Invited,1,22.0,Small Business,Male,3,2.0,Basic,3.0,Married,2.0,1,3,0,0.0,Executive,17935.0,0,3,2,0,1,1,Young,3,Low,1,3.0,Beginner,0,0,500,375.2776749732568,1
200018,0,53.0,Self Enquiry,3,8.0,Salaried,Female,3,4.0,Super Deluxe,3.0,Divorced,3.0,0,3,1,0.0,AVP,30427.0,1,2,1,4,0,0,Senior,2,Medium,2,3.0,Regular,3,0,3500,2020.7259421636904,0
200019,0,36.0,Self Enquiry,1,8.0,Salaried,Male,2,3.0,Basic,3.0,Single,6.0,1,4,0,1.0,Executive,22347.0,1,2,2,0,2,1,,1,,1,3.0,Expert,1,1,500,459.61940777125585,3
200020,0,36.0,Company Invited,1,17.0,Salaried,Female,3,2.0,Deluxe,3.0,Married,1.0,0,3,1,2.0,Manager,22347.0,0,2,1,1,1,2,,1,,1,5.0,Beginner,0,0,2000,1501.1106998930272,4
200021,1,36.0,Self Enquiry,3,15.0,Salaried,Male,2,4.0,Deluxe,5.0,Single,1.0,0,2,0,0.0,Manager,18407.0,1,2,2,1,2,2,,1,Low,1,2.0,Beginner,0,0,2000,1414.2135623730949,2
200022,0,34.0,Self Enquiry,1,13.0,Salaried,Fe Male,2,3.0,Standard,4.0,Unmarried,1.0,0,3,1,0.0,Senior Manager,26994.0,1,2,0,3,3,3,Middle,1,Medium,2,2.0,Beginner,0,0,1000,919.2388155425117,1
200023,0,21.0,Self Enquiry,1,21.0,Salaried,Male,3,3.0,Basic,3.0,Single,2.0,0,3,1,1.0,Executive,16232.0,1,2,2,0,2,1,Young,3,Low,1,4.0,Beginner,0,0,500,375.2776749732568,1
200024,1,34.0,Self Enquiry,1,12.0,Small Business,Male,2,3.0,Basic,5.0,Single,3.0,0,2,1,1.0,Executive,17960.0,1,3,2,0,2,1,Middle,1,Low,1,3.0,Regular,3,0,500,459.61940777125585,1
200025,0,53.0,Self Enquiry,1,11.0,Salaried,Female,2,3.0,King,3.0,Married,5.0,0,5,0,1.0,VP,34094.0,1,2,1,2,1,4,Senior,2,Medium,2,3.0,Regular,3,1,5000,4596.194077712558,0
200026,1,36.0,Company Invited,1,22.0,Salaried,Female,3,5.0,Basic,5.0,Single,2.0,1,4,1,2.0,Executive,22347.0,0,2,1,0,2,1,,1,,1,5.0,Beginner,0,1,500,375.2776749732568,1
200027,0,42.0,Self Enquiry,3,14.0,Small Business,Male,2,3.0,Deluxe,4.0,Divorced,1.0,0,3,0,1.0,Manager,21825.0,1,3,2,1,0,2,Middle,1,Medium,2,3.0,Beginner,0,0,2000,1414.2135623730949,2
200028,0,44.0,Self Enquiry,1,13.0,Small Business,Female,2,4.0,Standard,3.0,Divorced,4.0,0,4,1,0.0,Senior Manager,25248.0,1,3,1,3,0,3,Middle,1,Medium,2,2.0,Regular,3,1,1000,919.2388155425117,1
200029,0,46.0,Self Enquiry,3,8.0,Small Business,Female,2,3.0,King,5.0,Single,4.0,0,2,0,1.0,VP,33947.0,1,3,1,2,2,4,Senior,2,Medium,2,3.0,Regular,3,0,5000,3535.5339059327375,0
200030,0,33.0,Self Enquiry,1,8.0,Small Business,Male,3,3.0,Basic,3.0,Single,5.0,0,3,1,2.0,Executive,17496.0,1,3,2,0,2,1,Middle,1,Low,1,5.0,Regular,3,0,500,375.2776749732568,3
200031,0,44.0,Self Enquiry,1,16.0,Salaried,Male,2,3.0,Deluxe,3.0,Divorced,3.0,1,3,1,1.0,Manager,21465.0,1,2,2,1,0,2,Middle,1,Medium,2,3.0,Regular,3,0,2000,1838.4776310850234,1
200032,0,30.0,Self Enquiry,1,15.0,Small Business,Male,2,4.0,Basic,3.0,Single,2.0,0,4,1,1.0,Executive,17206.0,1,3,2,0,2,1,Young,3,Low,1,3.0,Beginner,0,1,500,459.61940777125585,1
200033,1,39.0,Self Enquiry,3,11.0,Large Business,Male,2,3.0,Deluxe,3.0,Divorced,4.0,0,2,0,1.0,Manager,17086.0,1,1,2,1,0,2,Middle,1,Low,1,3.0,Regular,3,0,2000,1414.2135623730949,2
200034,1,24.0,Self Enquiry,1,6.0,Small Business,Male,3,3.0,Basic,3.0,Divorced,3.0,1,3,1,2.0,Executive,17293.0,1,3,2,0,0,1,Young,3,Low,1,5.0,Regular,3,0,500,375.2776749732568,1
200035,0,43.0,Self Enquiry,1,8.0,Small Business,Female,3,2.0,Basic,3.0,Married,2.0,0,2,0,1.0,Executive,17645.0,1,3,1,0,1,1,Middle,1,Low,1,4.0,Beginner,0,0,500,375.2776749732568,4
200036,1,50.0,Self Enquiry,3,9.0,Small Business,Male,2,4.0,Basic,3.0,Divorced,2.0,1,4,0,0.0,Executive,17683.0,1,3,2,0,0,1,Senior,2,Low,1,2.0,Beginner,0,1,500,353.5533905932737,2
200037,0,35.0,Self Enquiry,3,8.0,Small Business,Female,3,3.0,Basic,3.0,Divorced,2.0,0,2,1,0.0,Executive,17014.0,1,3,1,0,0,1,Middle,1,Low,1,3.0,Beginner,0,0,500,288.6751345948129,2
200038,0,36.0,Self Enquiry,1,11.0,Salaried,Female,2,4.0,Basic,3.0,Divorced,1.0,1,2,1,0.0,Executive,95000.0,1,2,1,0,0,1,Middle,1,High,0,2.0,Beginner,0,0,500,551.543289325507,0
200039,0,33.0,Company Invited,3,6.0,Salaried,Female,2,2.0,Deluxe,5.0,Divorced,3.0,0,3,1,0.0,Manager,20376.0,0,2,1,1,0,2,Middle,1,Medium,2,2.0,Regular,3,0,2000,1414.2135623730949,2
200040,0,35.0,Self Enquiry,1,10.0,Salaried,Male,3,3.0,Basic,3.0,Married,2.0,0,4,0,0.0,Executive,16951.0,1,2,2,0,1,1,Middle,1,Low,1,3.0,Beginner,0,1,500,375.2776749732568,1
200041,0,27.0,Self Enquiry,1,8.0,Salaried,Female,2,3.0,Basic,5.0,Married,2.0,0,3,0,1.0,Executive,17341.0,1,2,1,0,1,1,Young,3,Low,1,3.0,Beginner,0,0,500,459.61940777125585,1
200042,1,26.0,Self Enquiry,1,31.0,Salaried,Male,2,5.0,Basic,3.0,Single,2.0,0,2,1,1.0,Executive,17293.0,1,2,2,0,2,1,Young,3,Low,1,3.0,Beginner,0,0,500,459.61940777125585,1
200043,0,27.0,Company Invited,3,14.0,Salaried,Male,2,3.0,Standard,3.0,Unmarried,2.0,0,2,1,0.0,Senior Manager,23726.0,0,2,2,3,3,3,Young,3,Medium,2,2.0,Beginner,0,0,1000,707.1067811865474,2
200044,0,36.0,Company Invited,1,6.0,Small Business,Female,2,3.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,22347.0,0,3,1,1,2,2,,1,,1,2.0,Beginner,0,0,2000,1838.4776310850234,1
200045,1,41.0,Self Enquiry,1,18.0,Large Business,Female,2,3.0,King,3.0,Divorced,2.0,0,4,1,0.0,VP,34545.0,1,1,1,2,0,4,Middle,1,Medium,2,2.0,Beginner,0,1,5000,4596.194077712558,0
200046,0,34.0,Company Invited,3,13.0,Small Business,Male,3,3.0,Deluxe,3.0,Single,1.0,0,5,1,1.0,Manager,19568.0,0,3,2,1,2,2,Middle,1,Low,1,4.0,Beginner,0,1,2000,1154.7005383792516,2
200047,0,37.0,Self Enquiry,1,25.0,Salaried,Male,3,3.0,Basic,4.0,Divorced,5.0,0,4,1,1.0,Executive,18022.0,1,2,2,0,0,1,Middle,1,Low,1,4.0,Regular,3,1,500,375.2776749732568,3
200048,0,46.0,Company Invited,3,11.0,Small Business,Male,3,3.0,Deluxe,3.0,Single,5.0,1,5,1,1.0,Manager,20772.0,0,3,2,1,2,2,Senior,2,Medium,2,4.0,Regular,3,1,2000,1154.7005383792516,3
200049,0,35.0,Self Enquiry,1,14.0,Salaried,Male,2,2.0,Basic,3.0,Divorced,2.0,0,5,1,1.0,Executive,17269.0,1,2,2,0,0,1,Middle,1,Low,1,3.0,Beginner,0,1,500,459.61940777125585,1
200050,1,48.0,Self Enquiry,1,6.0,Salaried,Male,3,4.0,Standard,3.0,Single,1.0,1,5,0,2.0,Senior Manager,20381.0,1,2,2,3,2,3,Senior,2,Medium,2,5.0,Beginner,0,1,1000,750.5553499465136,1
200051,1,36.0,Self Enquiry,1,11.0,Large Business,Male,2,3.0,Basic,3.0,Single,2.0,1,2,1,0.0,Executive,18441.0,1,1,2,0,2,1,,1,Low,1,2.0,Beginner,0,0,500,459.61940777125585,1
200052,0,44.0,Self Enquiry,3,6.0,Small Business,Female,3,3.0,Deluxe,5.0,Married,6.0,1,2,0,0.0,Manager,20454.0,1,3,1,1,1,2,Middle,1,Medium,2,3.0,Expert,1,0,2000,1154.7005383792516,3
200053,0,35.0,Company Invited,1,17.0,Small Business,Male,3,4.0,Standard,5.0,Divorced,3.0,1,5,1,1.0,Senior Manager,24884.0,0,3,2,3,0,3,Middle,1,Medium,2,4.0,Regular,3,1,1000,750.5553499465136,1
200054,0,36.0,Self Enquiry,3,29.0,Small Business,Female,2,4.0,Deluxe,3.0,Divorced,1.0,1,2,1,0.0,Manager,22347.0,1,3,1,1,0,2,,1,,1,2.0,Beginner,0,0,2000,1414.2135623730949,2
200055,0,33.0,Company Invited,1,6.0,Salaried,Fe Male,3,3.0,Standard,3.0,Unmarried,2.0,1,2,1,0.0,Senior Manager,28458.0,0,2,0,3,3,3,Middle,1,Medium,2,3.0,Beginner,0,0,1000,750.5553499465136,4
200056,0,35.0,Company Invited,3,24.0,Salaried,Male,3,3.0,Standard,5.0,Divorced,2.0,0,4,1,0.0,Senior Manager,24069.0,0,2,2,3,0,3,Middle,1,Medium,2,3.0,Beginner,0,1,1000,577.3502691896258,2
200057,0,36.0,Self Enquiry,1,29.0,Small Business,Female,1,3.0,Basic,5.0,Divorced,4.0,1,4,1,0.0,Executive,22347.0,1,3,1,0,0,1,,1,,1,1.0,Regular,3,1,500,650.0,1
200058,0,31.0,Self Enquiry,1,13.0,Salaried,Male,2,3.0,Deluxe,3.0,Married,4.0,0,3,1,0.0,Manager,20915.0,1,2,2,1,1,2,Middle,1,Medium,2,2.0,Regular,3,0,2000,1838.4776310850234,1
200059,0,37.0,Self Enquiry,1,6.0,Salaried,Male,2,4.0,Deluxe,3.0,Married,2.0,0,5,1,1.0,Manager,20993.0,1,2,2,1,1,2,Middle,1,Medium,2,3.0,Beginner,0,1,2000,1838.4776310850234,1
200060,0,32.0,Self Enquiry,1,6.0,Small Business,Male,2,3.0,Deluxe,3.0,Divorced,2.0,1,4,1,0.0,Manager,21162.0,1,3,2,1,0,2,Middle,1,Medium,2,2.0,Beginner,0,1,2000,1838.4776310850234,1
200061,0,38.0,Company Invited,1,35.0,Salaried,Female,2,3.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,17406.0,0,2,1,1,2,2,Middle,1,Low,1,2.0,Beginner,0,0,2000,1838.4776310850234,1
200062,0,50.0,Self Enquiry,1,13.0,Small Business,Female,2,4.0,King,3.0,Married,6.0,1,4,1,1.0,VP,33740.0,1,3,1,2,1,4,Senior,2,Medium,2,3.0,Expert,1,1,5000,4596.194077712558,0
200063,0,59.0,Self Enquiry,3,31.0,Salaried,Female,2,3.0,Standard,5.0,Unmarried,1.0,0,3,1,0.0,Senior Manager,22637.0,1,2,1,3,3,3,Senior,2,Medium,2,2.0,Beginner,0,0,1000,707.1067811865474,2
200064,0,36.0,Self Enquiry,1,14.0,Large Business,Female,2,3.0,Standard,3.0,Married,2.0,0,4,1,1.0,Senior Manager,25096.0,1,1,1,3,1,3,Middle,1,Medium,2,3.0,Beginner,0,1,1000,919.2388155425117,1
200065,0,55.0,Self Enquiry,1,14.0,Small Business,Female,2,3.0,Super Deluxe,3.0,Married,3.0,1,3,0,1.0,AVP,29756.0,1,3,1,4,1,0,Senior,2,Medium,2,3.0,Regular,3,0,3500,3217.335854398791,0
200066,0,36.0,Company Invited,1,17.0,Salaried,Male,3,4.0,Deluxe,4.0,Unmarried,2.0,0,4,1,1.0,Manager,21499.0,0,2,2,1,3,2,Middle,1,Medium,2,4.0,Beginner,0,1,2000,1501.1106998930272,1
200067,0,45.0,Self Enquiry,1,13.0,Salaried,Male,2,3.0,Standard,5.0,Married,3.0,0,3,1,1.0,Senior Manager,24724.0,1,2,2,3,1,3,Middle,1,Medium,2,3.0,Regular,3,0,1000,919.2388155425117,1
200068,0,35.0,Company Invited,1,6.0,Small Business,Male,3,3.0,Basic,5.0,Divorced,5.0,0,2,0,1.0,Executive,17194.0,0,3,2,0,0,1,Middle,1,Low,1,4.0,Regular,3,0,500,375.2776749732568,3
200069,1,36.0,Self Enquiry,1,15.0,Small Business,Male,3,4.0,Basic,3.0,Divorced,1.0,1,2,0,1.0,Executive,18388.0,1,3,2,0,0,1,,1,Low,1,4.0,Beginner,0,0,500,375.2776749732568,4
200070,0,59.0,Company Invited,3,6.0,Salaried,Female,2,4.0,Deluxe,3.0,Single,1.0,0,5,1,1.0,Manager,20473.0,0,2,1,1,2,2,Senior,2,Medium,2,3.0,Beginner,0,1,2000,1414.2135623730949,2
200071,0,29.0,Self Enquiry,1,8.0,Salaried,Male,3,3.0,Basic,4.0,Divorced,1.0,0,4,0,0.0,Executive,17703.0,1,2,2,0,0,1,Young,3,Low,1,3.0,Beginner,0,1,500,375.2776749732568,1
200072,0,31.0,Self Enquiry,1,6.0,Small Business,Male,2,3.0,Basic,4.0,Single,2.0,0,3,0,0.0,Executive,17501.0,1,3,2,0,2,1,Middle,1,Low,1,2.0,Beginner,0,0,500,459.61940777125585,1
200073,0,32.0,Self Enquiry,1,6.0,Salaried,Male,3,3.0,Deluxe,4.0,Divorced,2.0,0,3,0,0.0,Manager,21220.0,1,2,2,1,0,2,Middle,1,Medium,2,3.0,Beginner,0,0,2000,1501.1106998930272,4
200074,0,36.0,Self Enquiry,1,12.0,Salaried,Female,2,2.0,Deluxe,3.0,Divorced,4.0,0,2,0,0.0,Manager,18038.0,1,2,1,1,0,2,Middle,1,Low,1,2.0,Regular,3,0,2000,1838.4776310850234,1
200075,0,31.0,Self Enquiry,1,13.0,Salaried,Female,3,3.0,Deluxe,3.0,Single,2.0,0,5,0,1.0,Manager,22347.0,1,2,1,1,2,2,Middle,1,,1,4.0,Beginner,0,1,2000,1501.1106998930272,1
200076,0,35.0,Self Enquiry,3,13.0,Small Business,Male,2,4.0,Deluxe,5.0,Single,1.0,0,2,0,1.0,Manager,22347.0,1,3,2,1,2,2,Middle,1,,1,3.0,Beginner,0,0,2000,1414.2135623730949,2
200077,0,45.0,Self Enquiry,1,12.0,Salaried,Male,2,3.0,Standard,5.0,Divorced,5.0,1,3,0,0.0,Senior Manager,28245.0,1,2,2,3,0,3,Middle,1,Medium,2,2.0,Regular,3,0,1000,919.2388155425117,0
200078,0,37.0,Self Enquiry,1,13.0,Small Business,Male,1,3.0,Standard,3.0,Single,5.0,0,2,0,0.0,Senior Manager,28664.0,1,3,2,3,2,3,Middle,1,Medium,2,1.0,Regular,3,0,1000,1300.0,1
200079,0,46.0,Self Enquiry,2,11.0,Small Business,Male,3,4.0,Deluxe,4.0,Married,1.0,1,5,0,1.0,Manager,20021.0,1,3,2,1,1,2,Senior,2,Medium,2,4.0,Beginner,0,1,2000,1270.1705922171768,1
200080,0,30.0,Self Enquiry,1,6.0,Salaried,Male,2,4.0,Deluxe,3.0,Divorced,2.0,1,2,1,1.0,Manager,20126.0,1,2,2,1,0,2,Young,3,Medium,2,3.0,Beginner,0,0,2000,1838.4776310850234,1
200081,0,35.0,Self Enquiry,1,6.0,Small Business,Male,1,4.0,Basic,3.0,Single,2.0,0,4,1,0.0,Executive,17859.0,1,3,2,0,2,1,Middle,1,Low,1,1.0,Beginner,0,1,500,650.0,1
200082,0,55.0,Self Enquiry,3,6.0,Salaried,Male,3,3.0,Standard,3.0,Divorced,4.0,0,2,0,1.0,Senior Manager,25239.0,1,2,2,3,0,3,Senior,2,Medium,2,4.0,Regular,3,0,1000,577.3502691896258,0
200083,0,38.0,Company Invited,1,12.0,Small Business,Female,3,5.0,Deluxe,3.0,Married,1.0,1,2,0,2.0,Manager,20329.0,0,3,1,1,1,2,Middle,1,Medium,2,5.0,Beginner,0,0,2000,1501.1106998930272,4
200084,0,34.0,Self Enquiry,1,13.0,Small Business,Male,3,3.0,Deluxe,4.0,Divorced,2.0,0,5,0,0.0,Manager,22347.0,1,3,2,1,0,2,Middle,1,,1,3.0,Beginner,0,1,2000,1501.1106998930272,1
200085,0,56.0,Self Enquiry,1,13.0,Salaried,Male,2,5.0,Standard,3.0,Unmarried,5.0,0,2,0,0.0,Senior Manager,22260.0,1,2,2,3,3,3,Senior,2,Medium,2,2.0,Regular,3,0,1000,919.2388155425117,3
200086,0,23.0,Self Enquiry,3,8.0,Large Business,Male,3,3.0,Basic,5.0,Married,4.0,0,3,1,1.0,Executive,17322.0,1,1,2,0,1,1,Young,3,Low,1,4.0,Regular,3,0,500,288.6751345948129,2
200087,0,51.0,Self Enquiry,1,15.0,Salaried,Male,3,3.0,Basic,3.0,Divorced,4.0,0,3,1,0.0,Executive,17075.0,1,2,2,0,0,1,Senior,2,Low,1,3.0,Regular,3,0,500,375.2776749732568,3
200088,0,36.0,Self Enquiry,1,8.0,Salaried,Male,2,4.0,Deluxe,3.0,Divorced,2.0,0,4,1,0.0,Manager,22347.0,1,2,2,1,0,2,,1,,1,2.0,Beginner,0,1,2000,1838.4776310850234,1
200089,1,46.0,Self Enquiry,3,15.0,Small Business,Male,3,4.0,Standard,3.0,Unmarried,2.0,0,5,0,1.0,Senior Manager,24619.0,1,3,2,3,3,3,Senior,2,Medium,2,4.0,Beginner,0,1,1000,577.3502691896258,2
200090,0,40.0,Company Invited,1,6.0,Salaried,Male,3,4.0,Super Deluxe,4.0,Divorced,2.0,0,2,1,2.0,AVP,28503.0,0,2,2,4,0,0,Middle,1,Medium,2,5.0,Beginner,0,0,3500,2626.9437248127974,4
200091,0,51.0,Self Enquiry,3,27.0,Small Business,Male,3,3.0,Deluxe,3.0,Single,1.0,1,5,1,1.0,Manager,20441.0,1,3,2,1,2,2,Senior,2,Medium,2,4.0,Beginner,0,1,2000,1154.7005383792516,2
200092,0,30.0,Self Enquiry,3,10.0,Small Business,Female,3,4.0,Deluxe,4.0,Married,2.0,1,3,1,1.0,Manager,20209.0,1,3,1,1,1,2,Young,3,Medium,2,4.0,Beginner,0,0,2000,1154.7005383792516,2
200093,0,46.0,Company Invited,1,6.0,Small Business,Male,2,4.0,Standard,5.0,Divorced,3.0,1,2,1,1.0,Senior Manager,25673.0,0,3,2,3,0,3,Senior,2,Medium,2,3.0,Regular,3,0,1000,919.2388155425117,1
200094,0,32.0,Self Enquiry,3,12.0,Small Business,Male,2,4.0,Deluxe,3.0,Single,2.0,0,5,1,0.0,Manager,20010.0,1,3,2,1,2,2,Middle,1,Medium,2,2.0,Beginner,0,1,2000,1414.2135623730949,2
200095,0,54.0,Self Enquiry,1,8.0,Large Business,Female,2,3.0,Standard,3.0,Divorced,1.0,0,4,1,0.0,Senior Manager,28549.0,1,1,1,3,0,3,Senior,2,Medium,2,2.0,Beginner,0,1,1000,919.2388155425117,0
200096,0,24.0,Self Enquiry,3,9.0,Salaried,Female,2,4.0,Deluxe,3.0,Divorced,1.0,0,4,1,0.0,Manager,19999.0,1,2,1,1,0,2,Young,3,Low,1,2.0,Beginner,0,1,2000,1414.2135623730949,2
200097,0,36.0,Company Invited,3,10.0,Small Business,Male,2,3.0,Deluxe,3.0,Divorced,2.0,0,2,1,0.0,Manager,22347.0,0,3,2,1,0,2,,1,,1,2.0,Beginner,0,0,2000,1414.2135623730949,2
200098,0,58.0,Self Enquiry,3,16.0,Small Business,Male,2,3.0,Super Deluxe,3.0,Single,1.0,0,3,1,1.0,AVP,28872.0,1,3,2,4,2,0,Senior,2,Medium,2,3.0,Beginner,0,0,3500,2474.8737341529163,0
200099,0,44.0,Company Invited,1,29.0,Small Business,Male,3,3.0,Deluxe,4.0,Divorced,5.0,0,3,1,0.0,Manager,17042.0,0,3,2,1,0,2,Middle,1,Low,1,3.0,Regular,3,0,2000,1501.1106998930272,3
200100,1,37.0,Self Enquiry,2,12.0,Salaried,Male,3,3.0,Basic,5.0,Married,5.0,1,2,1,0.0,Executive,17073.0,1,2,2,0,1,1,Middle,1,Low,1,3.0,Regular,3,0,500,317.5426480542942,3
200101,0,32.0,Self Enquiry,1,6.0,Salaried,Male,3,3.0,Basic,5.0,Single,2.0,0,2,0,2.0,Executive,17956.0,1,2,2,0,2,1,Middle,1,Low,1,5.0,Beginner,0,0,500,375.2776749732568,4
200102,1,20.0,Company Invited,1,12.0,Salaried,Female,3,4.0,Basic,3.0,Single,2.0,1,2,1,1.0,Executive,17926.0,0,2,1,0,2,1,Young,3,Low,1,4.0,Beginner,0,0,500,375.2776749732568,4
200103,0,34.0,Self Enquiry,1,13.0,Salaried,Female,2,3.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,19809.0,1,2,1,1,2,2,Middle,1,Low,1,2.0,Beginner,0,0,2000,1838.4776310850234,1
200104,0,37.0,Company Invited,1,8.0,Salaried,Male,3,4.0,Deluxe,3.0,Married,6.0,0,2,0,1.0,Manager,20163.0,0,2,2,1,1,2,Middle,1,Medium,2,4.0,Expert,1,0,2000,1501.1106998930272,3
200105,0,59.0,Company Invited,2,8.0,Salaried,Female,2,4.0,King,3.0,Divorced,1.0,0,2,1,1.0,VP,33844.0,0,2,1,2,0,4,Senior,2,Medium,2,3.0,Beginner,0,0,5000,3889.087296526011,0
200106,0,50.0,Company Invited,1,6.0,Salaried,Female,3,3.0,King,4.0,Divorced,4.0,1,2,0,2.0,VP,33172.0,0,2,1,2,0,4,Senior,2,Medium,2,5.0,Regular,3,0,5000,3752.776749732568,0
200107,1,25.0,Self Enquiry,3,11.0,Small Business,Male,2,4.0,Deluxe,3.0,Single,2.0,1,3,1,0.0,Manager,20744.0,1,3,2,1,2,2,Young,3,Medium,2,2.0,Beginner,0,0,2000,1414.2135623730949,2
200108,0,25.0,Self Enquiry,1,13.0,Small Business,Male,3,4.0,Basic,3.0,Divorced,2.0,0,2,1,2.0,Executive,17889.0,1,3,2,0,0,1,Young,3,Low,1,5.0,Beginner,0,0,500,375.2776749732568,4
200109,0,22.0,Self Enquiry,1,21.0,Small Business,Female,2,3.0,Basic,3.0,Single,2.0,0,2,1,1.0,Executive,17871.0,1,3,1,0,2,1,Young,3,Low,1,3.0,Beginner,0,0,500,459.61940777125585,1
